"1045";"C1";"11";"1";"Kearney Catholic";"40";"2";"80";"136.00";" ";"2";"105.19";"241.19"
"1046";"C1";"11";"1";"Cozad";"19";"1";"19";"32.30";" ";"2";"105.19";"137.49"
"1047";"C1";"11";"1";"Gothenburg";"29";"1";"29";"49.30";" ";"1";"52.59";"101.89"
"1048";"C1";"11";"1";"Minden";"58";"2";"116";"197.20";" ";"2";"105.19";"302.39"
"1049";"C1";"11";"1";"Southern Valley";"62";"1";"62";"105.40";" ";"1";"52.59";"157.99"
"1050";"C2";"1";"1";"Tri County";"14";"2";"28";"47.60";" ";"2";"114.73";"162.33"
"1051";"C2";"1";"1";"Johnson-Brock";"43";"2";"86";"146.20";" ";"2";"114.73";"260.93"
"1052";"C2";"1";"1";"Johnson County Central";"30";"1";"30";"51.00";" ";"1";"57.37";"108.37"
"1053";"C2";"1";"1";"Southern";"16";"1";"16";"27.20";" ";"1";"57.37";"84.57"
"1054";"C2";"1";"1";"Friend";"63";"1";"63";"107.10";" ";"2";"114.73";"221.83"
"1055";"A";"6";"2";"Papillion-La Vista";"34";"1";"34";"57.80";"0.00";"2";"0.00";"0.00"
"1056";"A";"6";"2";"Grand Island";"113";"1";"113";"192.10";"0.00";"2";"0.00";"0.00"
"1057";"A";"6";"2";"Norfolk";"78";"1";"78";"132.60";"0.00";"1";"0.00";"0.00"
"1058";"A";"6";"2";"Omaha Benson";"32";"1";"32";"54.40";"0.00";"1";"0.00";"0.00"
"1059";"C1";"10";"1";"Ainsworth";"85";"1";"85";"144.50";"136.00";"1";"0.00";"136.00"
"1060";"C1";"10";"1";"Broken Bow";"53";"1";"53";"90.10";"84.80";"1";"0.00";"84.80"
"1061";"C1";"10";"1";"O'Neill";"68";"2";"136";"231.20";"217.61";"2";"0.00";"217.61"
"1062";"C1";"10";"1";"Ord";"18";"2";"36";"61.20";"57.60";"2";"0.00";"57.60"
"1063";"C1";"10";"1";"Valentine";"130";"1";"130";"221.00";"208.01";"2";"0.00";"208.01"
"1064";"A";"7";"2";"Bellevue West";"56";"1";"56";"95.20";" ";"2";"40.75";"135.95"
"1065";"A";"7";"2";"Omaha Bryan";"49";"1";"49";"83.30";" ";"1";"20.37";"103.67"
"1066";"A";"7";"2";"Lincoln Southwest";;"1";"0";"0.00";" ";"2";"40.75";"40.75"
"1067";"A";"7";"2";"Lincoln Northeast";;"1";"0";"0.00";" ";"1";"20.37";"20.37"
"1068";"A";"2";"2";"Papillion-La Vista South";"56";"1";"56";"95.20";"47.77";"2";"0.00";"47.77"
"1069";"A";"2";"2";"Millard West";"55";"1";"55";"93.50";"46.92";"2";"0.00";"46.92"
"1070";"A";"2";"2";"Columbus";"108";"1";"108";"183.60";"92.13";"1";"0.00";"92.13"
"1071";"A";"2";"2";"Lincoln Southeast";"0";"1";"0";"0.00";"0.00";"1";"0.00";"0.00"
"1080";"D1";"6";"1";"Omaha Nation";"10";"1";"10";"17.00";"3.18";"1";"0.00";"3.18"
"1079";"D1";"6";"1";"Pender";"30";"2";"60";"102.00";"19.08";"2";"0.00";"19.08"
"1078";"D1";"6";"1";"Emerson-Hubbard";"32";"1";"32";"54.40";"10.18";"2";"0.00";"10.18"
"1077";"D1";"6";"1";"Allen";"42";"2";"84";"142.80";"26.72";"2";"0.00";"26.72"
"1081";"D1";"6";"1";"Walthill";"8";"1";"8";"13.60";"2.54";"1";"0.00";"2.54"
"1082";"D2";"8";"1";"Arcadia";"18";"1";"18";"30.60";"18.85";"2";"0.00";"18.85"
"1083";"D2";"8";"1";"Elba";"28";"2";"56";"95.20";"58.65";"2";"0.00";"58.65"
"1084";"D2";"8";"1";"Litchfield";"24";"1";"24";"40.80";"25.14";"1";"0.00";"25.14"
"1085";"D2";"8";"1";"North Loup-Scotia";"32";"1";"32";"54.40";"33.52";"1";"0.00";"33.52"
"1086";"D2";"8";"1";"Pleasanton";"27";"2";"54";"91.80";"56.56";"2";"0.00";"56.56"
"1087";"D1";"1";"1";"Cedar Bluffs";"44";"2";"88";"149.60";"11.40";"2";"0.00";"11.40"
"1088";"D1";"1";"1";"Mead";"39";"2";"78";"132.60";"10.10";"2";"0.00";"10.10"
"1089";"D1";"1";"1";"East Butler";"12";"1";"12";"20.40";"1.55";"1";"0.00";"1.55"
"1090";"D1";"1";"1";"College View Academy";"58";"1";"58";"98.60";"7.51";"1";"0.00";"7.51"
"1091";"D1";"1";"1";"Omaha Christian Academy";"65";"1";"65";"110.50";"8.42";"2";"0.00";"8.42"
"1092";"C1";"6";"1";"Madison";"15";"1";"15";"25.50";" ";"1";"44.63";"70.13"
"1093";"C1";"6";"1";"Logan View";"63";"1";"63";"107.10";" ";"2";"89.26";"196.36"
"1094";"C1";"6";"1";"Wayne";"35";"2";"70";"119.00";" ";"2";"89.26";"208.26"
"1095";"C1";"6";"1";"West Point-Beemer";"42";"1";"42";"71.40";" ";"1";"44.63";"116.03"
"1096";"C1";"6";"1";"Wisner-Pilger";"27";"2";"54";"91.80";" ";"2";"89.26";"181.06"
